Date,LIBOR
1986-01-01,8.06
1986-01-02,8.125
1986-01-03,8.125
1986-01-06,8.1875
1986-01-07,8.125
1986-01-08,8
1986-01-09,8.1875
1986-01-10,8.25
1986-01-13,8.3125
1986-01-14,8.375
1986-01-15,8.25
1986-01-16,8.19
1986-01-17,8.19
1986-01-20,8.25
1986-01-21,8.19
1986-01-22,8.19
1986-01-23,8.19
1986-01-24,8.19
1986-01-27,8.13
1986-01-28,8.06
1986-01-29,8.06
1986-01-30,8.06
1986-01-31,8.06
1986-02-01,7.94
1986-02-03,8.06
1986-02-04,8.03
1986-02-05,8
1986-02-06,8
1986-02-07,8
1986-02-10,8.06
1986-02-11,8.03
1986-02-12,8.06
1986-02-13,8.06
1986-02-14,8
1986-02-17,8
1986-02-18,8
1986-02-19,8
1986-02-20,8
1986-02-21,8
1986-02-24,8
1986-02-25,7.94
1986-02-26,8
1986-02-27,7.97
1986-02-28,7.94
1986-03-01,7.5
1986-03-03,7.94
1986-03-04,7.91
1986-03-05,7.81
1986-03-06,7.81
1986-03-07,7.66
1986-03-10,7.56
1986-03-11,7.5
1986-03-12,7.5
1986-03-13,7.56
1986-03-14,7.56
1986-03-17,7.56
1986-03-18,7.63
1986-03-19,7.69
1986-03-20,7.69
1986-03-21,7.63
1986-03-24,7.63
1986-03-25,7.63
1986-03-26,7.56
1986-03-27,7.5
1986-04-01,6.94
1986-04-02,7.44
1986-04-03,7.44
1986-04-04,7.5
1986-04-07,7.41
1986-04-08,7.19
1986-04-09,6.88
1986-04-10,6.94
1986-04-11,6.94
1986-04-14,6.94
1986-04-15,6.94
1986-04-16,6.88
1986-04-17,6.69
1986-04-18,6.69
1986-04-21,6.81
1986-04-22,6.88
1986-04-23,7
1986-04-24,7
1986-04-25,7
1986-04-28,7
1986-04-29,6.94
1986-04-30,6.94
1986-05-01,7.13
1986-05-02,7
1986-05-06,6.94
1986-05-07,6.94
1986-05-08,6.94
1986-05-09,6.94
1986-05-12,7
1986-05-13,7.06
1986-05-14,7
1986-05-15,7.06
1986-05-16,7.13
1986-05-19,7.13
1986-05-20,7.16
1986-05-21,7.06
1986-05-22,7.06
1986-05-23,7.06
1986-05-27,7
1986-05-28,7
1986-05-29,7.06
1986-05-30,7.13
1986-06-01,7.03
1986-06-02,7.13
1986-06-03,7.19
1986-06-04,7.19
1986-06-05,7.19
1986-06-06,7.19
1986-06-09,7.06
1986-06-10,7.13
1986-06-11,7.13
1986-06-12,7.13
1986-06-13,7.13
1986-06-16,7.06
1986-06-17,7.06
1986-06-18,7.06
1986-06-19,7.06
1986-06-20,7.06
1986-06-23,7.06
1986-06-24,7.06
1986-06-25,7.06
1986-06-26,7.06
1986-06-27,7.06
1986-06-30,7.03
1986-07-01,6.56
1986-07-02,7
1986-07-03,7
1986-07-04,6.94
1986-07-07,6.94
1986-07-08,6.94
1986-07-09,7
1986-07-10,6.88
1986-07-11,6.69
1986-07-14,6.69
1986-07-15,6.56
1986-07-16,6.56
1986-07-17,6.59
1986-07-18,6.63
1986-07-21,6.56
1986-07-22,6.56
1986-07-23,6.56
1986-07-24,6.63
1986-07-25,6.63
1986-07-28,6.63
1986-07-29,6.63
1986-07-30,6.56
1986-07-31,6.56
1986-08-01,5.94
1986-08-04,6.5
1986-08-05,6.5
1986-08-06,6.5
1986-08-07,6.5
1986-08-08,6.47
1986-08-11,6.44
1986-08-12,6.44
1986-08-13,6.38
1986-08-14,6.25
1986-08-15,6.28
1986-08-18,6.31
1986-08-19,6.31
1986-08-20,6.25
1986-08-21,6
1986-08-22,6
1986-08-26,5.94
1986-08-27,5.88
1986-08-28,5.94
1986-08-29,5.94
1986-09-01,6.13
1986-09-02,5.81
1986-09-03,5.94
1986-09-04,6
1986-09-05,5.94
1986-09-08,6.03
1986-09-09,6.06
1986-09-10,6.02
1986-09-11,6.06
1986-09-12,6.19
1986-09-15,6.13
1986-09-16,6.13
1986-09-17,6.19
1986-09-18,6.13
1986-09-19,6.19
1986-09-22,6.19
1986-09-23,6.19
1986-09-24,6.14
1986-09-25,6.06
1986-09-26,6.13
1986-09-29,6.13
1986-09-30,6.13
1986-10-01,5.94
1986-10-02,6.06
1986-10-03,6.06
1986-10-06,6
1986-10-07,5.94
1986-10-08,5.94
1986-10-09,5.91
1986-10-10,5.88
1986-10-13,5.94
1986-10-14,5.94
1986-10-15,6
1986-10-16,6
1986-10-17,6.06
1986-10-20,6.13
1986-10-21,6.13
1986-10-22,6.06
1986-10-23,6.06
1986-10-24,6.06
1986-10-27,6.06
1986-10-28,6.03
1986-10-29,6
1986-10-30,5.88
1986-10-31,5.94
1986-11-01,6.38
1986-11-03,6
1986-11-04,6
1986-11-05,6.06
1986-11-06,6.06
1986-11-07,6.06
1986-11-10,6.13
1986-11-11,6.13
1986-11-12,6.13
1986-11-13,6.06
1986-11-14,6.06
1986-11-17,6.08
1986-11-18,6.13
1986-11-19,6.13
1986-11-20,6.13
1986-11-21,6.13
1986-11-24,6.13
1986-11-25,6.09
1986-11-26,6.13
1986-11-27,6.38
1986-11-28,6.38
1986-12-01,6.75
1986-12-02,6.44
1986-12-03,6.5
1986-12-04,6.44
1986-12-05,6.39
1986-12-08,6.44
1986-12-09,6.44
1986-12-10,6.44
1986-12-11,6.44
1986-12-12,6.44
1986-12-15,6.5
1986-12-16,6.69
1986-12-17,7.06
1986-12-18,7
1986-12-19,7.3
1986-12-22,8.63
1986-12-23,8.06
1986-12-24,7.56
1986-12-29,7.77
1986-12-30,7.77
1986-12-31,6.75
1987-01-01,6.2
1987-01-02,6.5
1987-01-05,6.38
1987-01-06,6.38
1987-01-07,6.38
1987-01-08,6.25
1987-01-09,6.13
1987-01-12,6.19
1987-01-13,6.3
1987-01-14,6.34
1987-01-15,6.25
1987-01-16,6.19
1987-01-19,6.25
1987-01-20,6.2
1987-01-21,6.19
1987-01-22,6.19
1987-01-23,6.19
1987-01-26,6.25
1987-01-27,6.25
1987-01-28,6.25
1987-01-29,6.25
1987-01-30,6.2
1987-02-01,6.47
1987-02-02,6.31
1987-02-03,6.27
1987-02-04,6.25
1987-02-05,6.19
1987-02-06,6.19
1987-02-09,6.31
1987-02-10,6.44
1987-02-11,6.55
1987-02-12,6.5
1987-02-13,6.44
1987-02-16,6.5
1987-02-17,6.56
1987-02-18,6.5
1987-02-19,6.38
1987-02-20,6.31
1987-02-23,6.31
1987-02-24,6.31
1987-02-25,6.3
1987-02-26,6.5
1987-02-27,6.47
1987-03-01,6.58
1987-03-02,6.44
1987-03-03,6.44
1987-03-04,6.44
1987-03-05,6.44
1987-03-06,6.38
1987-03-09,6.5
1987-03-10,6.56
1987-03-11,6.63
1987-03-12,6.59
1987-03-13,6.56
1987-03-16,6.56
1987-03-17,6.56
1987-03-18,6.5
1987-03-19,6.5
1987-03-20,6.44
1987-03-23,6.5
1987-03-24,6.56
1987-03-25,6.5
1987-03-26,6.5
1987-03-27,6.5
1987-03-30,6.56
1987-03-31,6.58
1987-04-01,6.81
1987-04-02,6.5
1987-04-03,6.5
1987-04-06,6.44
1987-04-07,6.44
1987-04-08,6.44
1987-04-09,6.44
1987-04-10,6.56
1987-04-13,6.75
1987-04-14,7
1987-04-15,6.81
1987-04-16,6.75
1987-04-21,6.81
1987-04-22,6.69
1987-04-23,6.75
1987-04-24,6.81
1987-04-27,6.88
1987-04-28,6.81
1987-04-29,6.75
1987-04-30,6.81
1987-05-01,7.25
1987-05-05,7.06
1987-05-06,7.03
1987-05-07,6.97
1987-05-08,6.94
1987-05-11,6.88
1987-05-12,6.94
1987-05-13,6.94
1987-05-14,6.94
1987-05-15,7
1987-05-18,7.25
1987-05-19,7.31
1987-05-20,7.38
1987-05-21,7.25
1987-05-22,7.25
1987-05-26,7.06
1987-05-27,7.06
1987-05-28,7.19
1987-05-29,7.25
1987-06-01,7.06
1987-06-02,7.13
1987-06-03,7.19
1987-06-04,7.13
1987-06-05,7.13
1987-06-08,7.13
1987-06-09,7.13
1987-06-10,7.14
1987-06-11,7.13
1987-06-12,7.11
1987-06-15,7.06
1987-06-16,7.11
1987-06-17,7.11
1987-06-18,7.11
1987-06-19,7.13
1987-06-22,7.13
1987-06-23,7.13
